mfcc,labels,label_names
"tensor([[[ 72.9670,  36.4232,  33.7924,  ...,  41.9237,  42.1740,  52.7225],
         [ 48.4809,  96.9909,  95.8030,  ...,  98.6915,  93.4031,  58.6106],
         [-20.7616, -79.9416, -79.4739,  ..., -78.7739, -83.8951, -41.9543],
         ...,
         [ -4.1313,   8.4405,   6.3998,  ...,   1.0719,   2.7287,  -5.9743],
         [  1.3236,  -5.2012, -12.0007,  ..., -13.6909, -14.1890, -11.1508],
         [ -3.0946,  -0.8699,  -4.5046,  ...,  -1.6772,  -2.4669,  -2.8605]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ 50.4364,  45.7181,  50.1557,  ...,  25.7515,  16.0567,  23.9405],
         [  4.5678,   8.0828,  16.7893,  ...,  14.5933,  13.5211,  27.4836],
         [ -1.4629,   1.1406,   9.4288,  ..., -28.6962, -26.1118, -13.4660],
         ...,
         [ -9.3322,  -6.4584,  -1.4437,  ..., -10.9948,  -7.7940,   4.9673],
         [ -0.8210,  -4.0186,  -0.5008,  ...,  -7.3453,  -6.3225,  -7.4278],
         [  0.2977,  -0.3381,  -0.0887,  ...,  -9.9331, -13.9922, -14.6149]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ 24.9655,  20.6155,  14.9180,  ...,  18.1184,  14.9307,  14.0201],
         [ 45.4950,  44.5278,  41.0151,  ...,  23.6462,  24.9285,  23.1211],
         [ 12.8012,  10.1636,   6.9292,  ..., -15.0370, -19.6591, -21.4606],
         ...,
         [ -1.4214,   5.5120,  -4.1825,  ..., -12.4385, -15.1169,  -8.9161],
         [  0.8423,   2.5937,   2.2460,  ..., -17.1445, -16.8012, -15.5544],
         [ -6.1815,  -4.7712,  -5.5881,  ...,  -8.2112,  -6.0765, -10.9481]]])","['/m/0fx80y', None, None, None, None]","['Plucked string instrument', None, None, None, None]"
"tensor([[[-21.9342, -21.4888, -12.7087,  ..., -22.9826, -27.1385, -17.6619],
         [ 17.5069,  21.5849,  25.8703,  ...,  40.8329,  41.1382,  35.4657],
         [-12.6979, -15.9298, -17.9564,  ..., -11.0705, -10.6254,  -2.5637],
         ...,
         [  0.9596,  -0.1613,  -3.7100,  ...,  -5.3662,  -0.9720,  -9.6074],
         [ -6.9335,  -1.4553,  -2.7672,  ...,   5.3958,   3.8399,   2.8581],
         [  5.7962,   7.2412,  -5.2509,  ...,  -2.4410,  -0.3111,  -0.8958]]])","[None, None, None, '/m/04wptg', None]","[None, None, None, 'Wedding music', None]"
"tensor([[[144.5184, 148.3329, 140.7720,  ..., 137.4247, 132.8652, 110.5942],
         [ 23.4579,  30.7570,  18.4200,  ...,  35.0867,  36.9262,  43.3814],
         [-17.9135, -12.8133, -13.2706,  ...,  -4.6204,   0.6547,  21.8867],
         ...,
         [ -3.1961,  -3.1089,  -4.4359,  ...,  -2.9994,   1.6675,   4.1069],
         [  2.5838,   3.7938,   6.3514,  ...,   1.4052,   1.5334,   6.9361],
         [ -1.8235,  -2.3535,   9.7771,  ...,  -0.8668,   0.2821,  -5.7014]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ -7.0142, -31.2074, -41.2543,  ..., -22.0086, -37.1498, -47.7799],
         [ 14.1927, -10.5884,   4.5758,  ...,  -1.7668,   7.0551,  15.2482],
         [  2.2104, -23.5321,  -6.2781,  ..., -10.6634,  -6.4457,   0.9578],
         ...,
         [  1.6100,   3.5487,   0.5295,  ..., -11.0300,  -6.4898,  -8.2593],
         [  1.0366,   0.4849,  -0.3638,  ...,   1.1310,  -0.3641,   2.8834],
         [  1.0273,   6.1672,   3.1374,  ...,   5.9701,   5.4395,  -1.1593]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[-1.5272e+02, -2.2008e+02, -2.1060e+02,  ..., -1.5891e+02,
          -1.6899e+02, -1.4533e+02],
         [ 3.2203e+01,  8.9088e+01,  1.0150e+02,  ...,  1.1270e+02,
           1.0777e+02,  5.5493e+01],
         [ 6.3294e+01,  2.6697e+01,  3.1620e+01,  ...,  1.1260e+01,
           6.5428e+00,  3.6207e+01],
         ...,
         [ 1.8507e-01, -1.1177e+00, -2.0856e+00,  ...,  8.0894e+00,
           8.8091e+00, -4.0246e+00],
         [-4.0784e+00, -1.8324e+00,  7.5148e-01,  ..., -2.9736e+00,
          -8.2022e+00,  3.8220e+00],
         [ 8.4671e-01,  4.8090e+00,  4.0007e+00,  ...,  6.5124e+00,
          -1.9509e-01,  1.0520e+01]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ 3.9978e+01,  3.8349e+01,  2.6649e+01,  ..., -1.2896e+02,
          -1.1911e+02, -1.6057e+02],
         [ 5.3324e-04,  1.0954e+01,  1.0143e+01,  ...,  2.0646e+01,
           1.9274e+01,  1.7754e+01],
         [-1.1017e+01, -8.1197e+00, -1.9104e+00,  ...,  4.9622e+00,
           2.1609e+01,  9.3470e+00],
         ...,
         [-1.0073e+01, -9.4071e+00, -1.6114e+01,  ..., -1.8612e+00,
          -6.0075e-01, -6.7225e+00],
         [ 1.5466e+01,  3.6142e+00,  5.3797e-02,  ...,  3.9822e+00,
           4.5794e+00,  1.3747e+01],
         [ 8.8739e+00,  1.2860e+00, -5.8680e+00,  ..., -3.3588e-01,
           9.3185e-01,  1.3992e+00]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ -6.6662, -30.4885, -33.5144,  ..., -27.4770, -28.4246,   4.5310],
         [ 37.2931,   6.3541,   5.0844,  ...,  -7.8318,  -7.7121,  22.5867],
         [-13.5626, -33.7115, -31.6747,  ..., -31.3528, -34.5711, -14.9649],
         ...,
         [  3.6010,   5.6231,   2.8464,  ...,   8.6070,  16.6319,   6.9288],
         [  3.8981,  12.0519,  15.2149,  ...,   5.0235,   4.1320,   3.8511],
         [  4.4967,  16.0891,   9.1901,  ...,   6.9777,  11.5546,   0.5581]]])","[None, '/m/06j64v', None, None, None]","[None, 'Middle Eastern music', None, None, None]"
"tensor([[[-3.9480e+02, -3.9480e+02, -3.9480e+02,  ..., -7.9111e+01,
          -8.5309e+01, -7.1135e+01],
         [ 1.7459e-05,  1.7459e-05,  1.7459e-05,  ...,  4.2036e+01,
           4.3514e+01,  5.7159e+01],
         [-2.2771e-05, -2.2771e-05, -2.2771e-05,  ..., -8.6897e+00,
          -1.0278e+01,  7.4271e-01],
         ...,
         [ 1.2670e-04,  1.2670e-04,  1.2670e-04,  ..., -1.1622e+01,
          -1.2886e+01, -1.2317e+01],
         [-7.1833e-05, -7.1833e-05, -7.1833e-05,  ...,  9.8415e+00,
           9.5477e+00,  7.4587e+00],
         [-2.2148e-05, -2.2148e-05, -2.2148e-05,  ...,  2.0271e+01,
           2.0904e+01,  8.1554e+00]]])","['/m/0fx80y', None, None, None, None]","['Plucked string instrument', None, None, None, None]"
"tensor([[[ 22.2641,  13.5202,   9.9858,  ...,  -6.0830,  -5.0218, -11.8328],
         [ 63.7892,  60.3107,  62.6551,  ..., -20.3436, -20.6632, -28.3692],
         [ -8.9875, -19.8195, -24.4687,  ...,   2.0454,   0.6156,  -7.4874],
         ...,
         [  4.2829,   8.2954,   1.5475,  ...,   1.0127,  -1.8609,   4.5596],
         [ -2.7431,   1.1980,   3.7923,  ...,  -0.8066,  -4.8839,   2.6717],
         [  4.9400,  11.8395,  11.3857,  ...,  -2.9200,  -7.1944,   0.4764]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ 14.7848,  20.7855,  15.6459,  ...,  88.7790,  96.3685,  98.7706],
         [ 47.9499,  51.1908,  43.1534,  ...,  -8.7469,   0.4428,   0.4084],
         [ 11.1871,   5.1716,  -2.4806,  ..., -11.2297,  -6.5359,  -5.0010],
         ...,
         [ -7.6145,  -2.0288,  -5.7601,  ...,  17.3002,   5.9329,   5.4843],
         [ -2.2320,  -4.5829,   2.0304,  ...,   9.8466,   5.2156,  -1.6377],
         [ -3.6823,  -4.1885,   2.0221,  ...,  -1.6839,   3.7916,  -1.7637]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ 39.3373,  24.5791,  20.7681,  ...,  66.0207,  60.6125,  46.5567],
         [ 52.8396,  65.6275,  68.3174,  ...,  49.8686,  52.9899,  51.8167],
         [-19.1701, -14.5641, -12.7021,  ...,  -6.9802,  -6.4701,   3.6774],
         ...,
         [  1.5444,  -0.5789,  -1.0841,  ...,  -2.2920,  -3.3423,  -4.5909],
         [  1.5542,   2.3284,   1.5676,  ...,  -4.8409,  -8.4222,  -8.2696],
         [ -4.6011,  -6.9598,  -7.7484,  ...,  -0.8477,   0.8598,   3.8286]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ 61.7426,  59.3964,  59.5434,  ..., -21.2656, -30.4006, -30.4395],
         [ 35.6514,  38.5433,  42.0675,  ...,  49.2604,  45.0222,  47.4951],
         [  1.9625,   5.8087,  11.7251,  ...,   5.2473,   4.5894,   4.4522],
         ...,
         [ 11.2893,   0.2861,   2.8005,  ..., -11.2693, -10.8702,  -7.2897],
         [ 17.2904,   2.4461,   4.8944,  ..., -10.5434,  -8.3431,  -1.6922],
         [ -1.7909, -20.7392, -22.5612,  ...,  -5.6172,  -7.2797, -11.2166]]])","[None, '/m/02mscn', None, '/m/0140xf', None]","[None, 'Christian music', None, 'Christmas music', None]"
"tensor([[[ 4.3178e+01,  5.5581e+01,  5.9648e+01,  ...,  1.7651e+01,
           1.1903e+01,  1.9370e+00],
         [ 4.9257e+01,  5.7554e+01,  5.5885e+01,  ...,  4.2428e+01,
           4.2385e+01,  4.8722e+01],
         [-1.1376e+01,  4.7491e+00, -6.5385e+00,  ...,  2.0619e+01,
           1.0526e+01,  2.5391e+01],
         ...,
         [-1.3381e+00, -3.9334e+00,  2.1635e-02,  ..., -1.0922e+01,
          -3.0122e+00, -1.4779e+00],
         [-4.3964e+00, -5.0019e+00, -2.0680e+00,  ...,  3.7783e+00,
           9.8629e+00,  4.0273e+00],
         [ 1.8702e+00, -7.5731e-01,  8.7869e+00,  ..., -1.1113e+01,
          -6.2044e+00, -1.0332e+01]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[-3.9184e+00,  1.9663e-01, -9.6747e+00,  ...,  7.4049e+00,
           1.4339e+01, -5.7330e+00],
         [ 2.7834e+01,  3.4388e+01,  3.6030e+01,  ...,  3.9225e+01,
           4.6002e+01,  3.4266e+01],
         [ 1.3265e+01,  1.1858e+01,  1.6838e+01,  ...,  7.4388e+00,
          -3.8625e-02,  8.2411e+00],
         ...,
         [ 3.4157e+00,  1.3199e+00,  1.8501e+00,  ...,  9.3641e+00,
           5.3766e-01,  5.7918e+00],
         [ 8.5973e+00,  6.6965e+00, -1.2317e+00,  ...,  2.2057e+00,
          -1.1117e+00, -1.7456e+00],
         [ 7.2028e+00,  4.8549e+00, -3.0254e+00,  ..., -3.2059e+00,
           1.0248e+00, -2.8070e+00]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[-71.6257, -74.4072, -58.0997,  ..., -62.1309, -10.8744, -51.3282],
         [ 64.3809,  72.8149,  68.6949,  ...,  66.0869,  35.9390,  54.4100],
         [ 26.8314,  21.2951,  19.4108,  ...,  16.6662,  12.1029,  18.9487],
         ...,
         [  1.4511,  -9.6213, -16.4786,  ...,   8.7648,  -1.7009,   3.5852],
         [ -6.1401,   3.3486,  -5.3805,  ...,   5.6479,  -1.1322,   0.9038],
         [ -0.9477, -19.0397, -13.2539,  ..., -10.8056,  -7.2598,  -5.2823]]])","[None, None, None, '/m/04wptg', None]","[None, None, None, 'Wedding music', None]"
"tensor([[[ -68.2087,  -95.0830,  -94.0094,  ..., -143.9830, -143.4238,
          -126.8057],
         [  88.9313,  102.9098,  101.4175,  ...,  143.9219,  145.8614,
           114.2130],
         [   6.6768,   -3.3127,   -4.5796,  ...,   -8.0364,  -14.2654,
             1.6209],
         ...,
         [  -8.7695,   -9.4005,  -10.7162,  ...,  -10.9883,   -3.0392,
            -7.6864],
         [  -7.8134,   -3.5773,   -4.3540,  ...,    2.9835,    3.6881,
             5.0339],
         [  -2.4650,   -7.0863,   -6.4872,  ...,    1.3166,    6.8688,
             8.1900]]])","[None, '/m/02v2lh', None, None, None]","[None, 'New-age music', None, None, None]"
"tensor([[[-10.1439, -15.8322,  -9.7291,  ...,  45.5259,  45.7055,  35.9984],
         [ 46.8495,  42.2947,  34.8147,  ...,  39.7361,  43.7815,  37.2185],
         [ -2.5914,  -1.0849,  -1.6374,  ...,   6.0233,   8.0242,   6.8942],
         ...,
         [ -0.6080,  -1.7751,  -1.0051,  ...,  -3.2053,  -0.1639,  -1.6943],
         [  0.5488,   0.9857,  -3.2769,  ...,  -1.2064,  -1.7909,   0.4416],
         [  8.4549,   4.3084,   6.0382,  ...,   0.7723,  -1.8445,  -1.2506]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[  9.8619, -16.5552, -17.2805,  ...,  51.1106,  51.7192,  43.8371],
         [-18.1841, -33.7307, -36.8257,  ...,  34.9461,  27.7215,  20.0328],
         [-38.0039, -60.2546, -61.6499,  ..., -28.5583, -25.7858, -17.5418],
         ...,
         [ -7.3313,   5.1603,   4.0346,  ...,  -4.4913,  -7.6118,  -2.4680],
         [-12.7026,  -8.3457,  -6.9337,  ...,   5.7904,   3.1295,   8.1839],
         [ -5.3625,  -4.2108,   0.2318,  ...,  -4.0498,  -8.4444,  -1.8552]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ -6.2032,  -0.4155,  -3.3122,  ..., -22.2446, -36.1936, -45.5064],
         [ 33.9131,  39.3501,  42.2439,  ...,  55.5239,  46.4705,  34.0225],
         [  9.1952,   4.0506,   6.3024,  ...,  13.0995,  19.6541,  17.1407],
         ...,
         [ -2.6656,  -8.5662,  -1.6371,  ...,   1.0208,  -4.0482,  -1.4266],
         [ -4.2315,  -2.7290,  -1.1453,  ...,   2.2894,   0.0783,  -0.2026],
         [-11.6574,  -4.5461,  -4.6401,  ...,  -6.9512,  -7.9149,  -2.8820]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ 2.3817e+01,  3.4088e+01,  2.4817e+01,  ...,  1.0739e+01,
           6.5247e+00,  2.1537e+00],
         [ 3.4179e+01,  3.4454e+01,  3.8157e+01,  ...,  6.0809e+01,
           7.1025e+01,  7.2531e+01],
         [-1.0517e+01, -5.1821e+00, -1.4470e+01,  ..., -8.5316e+00,
          -4.6282e+00, -5.0057e+00],
         ...,
         [-5.4684e+00, -2.8372e+00, -4.4640e-01,  ..., -2.6779e+00,
           3.4194e-02,  3.1004e+00],
         [-1.4162e+01, -1.5636e+01, -1.3354e+01,  ..., -1.0598e+01,
          -5.4457e+00, -4.4152e+00],
         [-1.0686e+01, -1.1940e+01, -9.3632e+00,  ..., -5.1605e+00,
          -2.5913e+00,  4.4052e-01]]])","[None, '/m/0ggq0m', None, '/m/04wptg', None]","[None, 'Classical music', None, 'Wedding music', None]"
"tensor([[[-3.1014e+02, -3.1014e+02, -3.1014e+02,  ...,  5.9661e+00,
           3.1052e+00,  8.2089e+00],
         [ 3.3170e-05,  3.3170e-05,  3.3170e-05,  ...,  6.6479e+01,
           7.5292e+01,  6.9112e+01],
         [-2.2605e-05, -2.2605e-05, -2.2605e-05,  ..., -4.5566e+01,
          -4.8416e+01, -3.1559e+01],
         ...,
         [ 9.9307e-05,  9.9307e-05,  9.9307e-05,  ...,  7.4880e+00,
           5.5095e+00,  4.6168e+00],
         [-5.3840e-05, -5.3840e-05, -5.3840e-05,  ..., -4.4867e+00,
          -2.0474e+00, -3.6565e+00],
         [-1.9798e-05, -1.9798e-05, -1.9798e-05,  ..., -5.9109e+00,
          -4.5470e+00, -2.1374e+00]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[35.6816, 32.6684, 32.2312,  ..., 65.4276, 65.4049, 57.4980],
         [61.8243, 64.8826, 62.6987,  ..., 17.5471, 20.9645, 19.5548],
         [-1.2914,  0.0678, -1.3070,  ..., 10.3958,  6.7574,  3.4003],
         ...,
         [10.4671, 12.5657,  9.6454,  ..., -7.2413,  5.3486, -5.3572],
         [13.8927, 17.2062, 14.0418,  ...,  0.8646, 11.8316,  5.0920],
         [11.5093,  8.7770,  4.3157,  ...,  2.2368,  1.0340, -2.3903]]])","[None, '/m/0glt670', None, None, None]","[None, 'Hip hop music', None, None, None]"
"tensor([[[  8.5995,   0.2964,   1.0795,  ..., -15.1342,  -7.2335,  -3.4676],
         [ 38.1342,  24.3076,  29.5861,  ...,   5.8664,   2.8455,   7.9609],
         [  9.6142,   6.3288,   1.2467,  ...,  15.3633,  13.7932,  13.8369],
         ...,
         [ -7.2263,  -6.9521,  -1.9655,  ...,   0.5154,   1.3434,  -3.3590],
         [  7.8559,  -7.4634,  -1.8733,  ...,  10.2441,   9.8455,   5.1631],
         [  3.7417,  -4.4256,  -5.1098,  ...,  -0.5734,  -3.5638,  -3.8129]]])","[None, '/m/02mscn', None, None, None]","[None, 'Christian music', None, None, None]"
"tensor([[[ 28.2358,  15.7429,  17.5754,  ...,  -6.2875,  -0.9882,  -0.6648],
         [ 39.6033,  31.8696,  35.1339,  ...,  26.0853,  21.2090,  21.4614],
         [ -6.4506,  -9.8247,  -5.8859,  ...,  11.2384,   8.3605,   5.9336],
         ...,
         [-12.0595, -13.2677, -10.0450,  ...,  -1.6321,  -1.5079,  -2.0284],
         [ -4.3586,  -5.9365,  -6.5277,  ...,   5.5484,   4.5096,   7.7702],
         [ -7.7130,  -2.4406,  -3.7940,  ...,  -0.5391,   0.1867,   5.1994]]])","['/m/0fx80y', None, None, None, None]","['Plucked string instrument', None, None, None, None]"
"tensor([[[  21.4703,   12.5933,   14.6216,  ...,  -60.5399,  -97.2417,
          -113.2259],
         [  27.8623,   29.8327,   25.5238,  ...,   29.6483,   26.1534,
            10.9446],
         [  -8.1640,  -11.7335,  -26.5428,  ...,   31.2872,   28.6252,
            28.8489],
         ...,
         [  -1.0339,   -4.3285,   -7.9462,  ...,   -3.5093,   -8.1461,
            -5.6064],
         [   1.6290,   -6.3501,   -0.6384,  ...,   -0.8922,   -4.9986,
             0.1174],
         [  -7.3993,   -3.0191,   -2.4183,  ...,   -4.6144,  -13.5447,
            -9.4667]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ 30.9458,  26.4666,  14.3708,  ...,  14.6347,  -6.1196, -38.1105],
         [ 60.1441,  68.1736,  65.9170,  ...,  63.6337,  72.0854,  54.8941],
         [  9.2990,   7.5849,  -1.1306,  ..., -23.9187, -25.7117,  -6.1930],
         ...,
         [ -4.1852,   0.0938,   0.1998,  ...,   5.5538,   2.3177,   3.5854],
         [  2.6023,   5.5593,   4.9907,  ...,  -3.4053,  -2.3574,  -4.4378],
         [ -3.9214,  -5.2763,  -6.7887,  ...,  -9.8291,  -2.6979,   7.8713]]])","[None, '/m/0164x2', None, None, None]","[None, 'Music of Africa', None, None, None]"
"tensor([[[ 54.6882,  40.7954,  31.1912,  ...,  38.1093,  39.2731,  32.8232],
         [ 29.3368,  22.2662,  24.5324,  ...,  32.1487,  31.3024,  27.9847],
         [-22.7198, -31.8908, -29.9897,  ..., -30.4099, -25.0660, -34.7420],
         ...,
         [-11.6797, -19.8200, -14.0226,  ...,  -0.4468,  -6.2033,  -7.0312],
         [ -2.6671,  -7.7706,  -6.8875,  ...,   5.2792,   0.6688,   1.0837],
         [ -2.3237,  -6.4174,  -2.3955,  ...,   6.0694,   2.4183,   3.7776]]])","['/m/0l14_3', None, None, '/m/04wptg', None]","['Bowed string instrument', None, None, 'Wedding music', None]"
"tensor([[[106.4908, 111.7667, 107.6198,  ...,  95.3175, 103.4741, 104.4977],
         [  7.2799,  12.1538,  11.8737,  ...,  35.2796,  29.7570,  17.5304],
         [  6.6441,   8.6250,  11.6264,  ...,  15.9096,  12.0015,   7.7923],
         ...,
         [  5.1254,  -3.9887,  -8.4370,  ...,  -0.4670,   1.5087,  -7.7950],
         [-11.3043,  -4.0508,  -4.1604,  ...,  -2.2599, -11.7791,  -4.5364],
         [ -5.4367,  -3.2442,  -4.4389,  ...,  -2.1534,  -5.7886,  -5.0125]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ 9.0970e+01,  7.4844e+01,  7.1105e+01,  ...,  2.9063e+01,
           2.7065e+01,  4.7355e+01],
         [ 2.7400e+01,  2.0975e+01,  1.9696e+01,  ...,  2.7385e+01,
           2.7211e+01,  4.8719e+01],
         [-5.2426e+01, -5.2015e+01, -4.8258e+01,  ..., -4.0925e+01,
          -4.0412e+01, -1.5540e+01],
         ...,
         [-8.1115e+00, -2.1820e+00, -8.5659e+00,  ...,  6.3881e+00,
           6.3768e+00,  9.8135e+00],
         [-5.1435e+00, -1.4093e+00,  1.0447e+00,  ...,  2.8883e-02,
           1.3470e+00,  4.8374e+00],
         [-6.5132e+00,  2.7718e+00,  4.7305e+00,  ...,  1.1153e+01,
           1.1732e+01,  4.2541e+00]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[-1.0968e+02, -2.1596e+02, -2.1560e+02,  ..., -9.8038e+01,
          -9.4450e+01, -1.0456e+02],
         [ 1.4643e+01,  8.2211e+01,  8.9430e+01,  ...,  3.3766e+01,
           3.9612e+01,  3.3417e+01],
         [ 5.4196e+01,  4.5198e+01,  4.1315e+01,  ...,  1.1731e+01,
           2.0055e+01,  1.7406e+01],
         ...,
         [ 1.4726e+00,  4.9158e+00,  1.0054e+01,  ...,  6.7306e-01,
           7.3336e-01, -7.0094e-01],
         [ 6.0649e-01,  3.4262e+00,  2.3325e+00,  ..., -4.7956e+00,
           1.0852e+00, -3.6945e+00],
         [ 1.1145e-01, -8.6509e+00, -1.0044e+01,  ...,  5.3336e+00,
           1.0114e+01,  1.3972e+00]]])","[None, None, None, '/m/025td0t', None]","[None, None, None, 'Background music', None]"
"tensor([[[ 5.4435e+00, -2.4538e+01, -2.6699e+01,  ..., -1.9364e+02,
          -2.0782e+02, -2.0947e+02],
         [ 8.7031e+01,  9.0533e+01,  9.4846e+01,  ...,  1.7646e+01,
           1.3276e+01,  9.6774e+00],
         [-1.5865e+01, -1.2155e+01, -9.6401e+00,  ...,  1.1933e+01,
           1.4301e+01,  1.2859e+01],
         ...,
         [-3.6260e+00, -2.1812e+00, -1.5883e+00,  ...,  2.2295e+00,
           6.4676e+00,  3.8687e-01],
         [-5.9711e+00, -1.5127e+01, -1.6102e+01,  ...,  3.9037e+00,
           1.6703e+00,  1.4219e-01],
         [ 1.5864e-01, -2.2708e+00,  2.9519e-01,  ...,  4.5972e-01,
          -3.3577e+00, -1.8658e+00]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[-47.8449, -48.7749, -49.7762,  ..., -27.8567, -31.8419, -36.1280],
         [ 33.2966,  34.0325,  38.8880,  ...,   2.4844,   5.5847,   1.2311],
         [  2.8811,  -8.1951, -12.7937,  ...,   7.1889,   8.4559,  -2.2711],
         ...,
         [  4.6658,   0.1753,  -6.1714,  ...,   7.1287,   5.5351,   3.8888],
         [  0.2128,   2.4472,   2.6022,  ...,  11.9800,  13.4927,   6.9548],
         [  0.5581,   2.3250,   9.2324,  ...,  -1.2189,  -0.2786,  -4.9912]]])","[None, '/m/06rqw', None, None, None]","[None, 'Ska', None, None, None]"
"tensor([[[ 15.1371,  20.4991,  13.8430,  ...,  39.2216,  43.9603,  46.0276],
         [ 34.7354,  28.3908,  27.5297,  ...,  11.0806,  11.7231,  24.1849],
         [-25.9260, -34.1438, -33.9208,  ..., -22.4818, -16.9064,  -1.7267],
         ...,
         [ -5.8214, -11.5804,  -7.2718,  ..., -12.5892,  -9.9110,   1.1077],
         [ -4.2649,  -4.5725,  -0.9867,  ...,  -5.0916,  -1.9748,   2.6709],
         [ -1.7918,  -4.1029,  -0.5555,  ...,   1.7443,   3.6770,   2.4578]]])","[None, None, None, '/m/02cjck', None]","[None, None, None, 'Theme music', None]"
"tensor([[[ 53.1585,  46.3599,  38.3002,  ...,  63.4636,  53.7560,  49.1240],
         [ 37.5557,  32.6303,  29.6256,  ...,  35.4772,  27.6545,  24.9830],
         [-18.6706, -19.0834, -23.0430,  ..., -26.5411, -25.4261, -21.7046],
         ...,
         [ -4.8425,  -2.5270,   4.0177,  ...,  -0.2278,  -4.2741,  -0.5846],
         [  1.1452,   1.1448,  -1.2770,  ...,  -7.5386,  -9.3598,   0.2650],
         [  5.4302,   1.4156,   1.5165,  ...,  -5.5785,  -6.7351,   0.2890]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[-2.8226e+02, -2.8226e+02, -2.8226e+02,  ...,  7.8438e+01,
           9.6252e+01,  9.9244e+01],
         [ 1.2643e-05,  1.2643e-05,  1.2643e-05,  ...,  2.5960e+01,
           2.5164e+01,  3.2858e+01],
         [-9.9958e-06, -9.9958e-06, -9.9958e-06,  ..., -1.0866e+01,
          -4.8690e+00, -4.0892e+00],
         ...,
         [ 8.7729e-05,  8.7729e-05,  8.7729e-05,  ...,  2.7120e+00,
          -1.8896e+00,  4.6672e+00],
         [-5.0569e-05, -5.0569e-05, -5.0569e-05,  ..., -3.8966e+00,
          -5.8679e+00, -1.4888e+00],
         [-1.6230e-05, -1.6230e-05, -1.6230e-05,  ...,  3.5444e+00,
          -2.9385e+00, -2.3126e+00]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ 46.9787,  38.5791,  34.1788,  ...,   4.7707,   8.2522,  -7.9755],
         [ 38.7409,  43.2332,  36.4426,  ...,  59.1625,  56.2302,  52.7027],
         [ -8.5351,  -8.1881,  -8.3530,  ...,   3.0057,  -0.2076,   8.4010],
         ...,
         [ -9.0781, -11.4624, -10.8770,  ...,   3.7198,   1.8047,   4.3226],
         [  3.2877,   4.4018,   2.4867,  ...,   4.2629,   4.1636,  -3.5666],
         [ -0.3818,   1.7219,  -2.0592,  ...,  -1.2468,  -3.5251,  -7.0666]]])","[None, '/m/02mscn', '/m/074ft', None, None]","[None, 'Christian music', 'Song', None, None]"
"tensor([[[ 46.2452,  44.1456,  45.9393,  ...,  52.8012,  39.7571,  45.3913],
         [-16.9080, -18.8583, -17.5187,  ...,  -9.8382,  -1.6124,  11.9696],
         [-19.2435, -17.0396, -13.6000,  ...,   3.9695,   9.3907,  18.6455],
         ...,
         [-14.6570, -13.4720, -14.7988,  ..., -10.4315, -13.4899,  -9.0954],
         [-11.0734,  -4.5953,  -4.6091,  ...,  -9.2829, -10.5872,  -4.1937],
         [ -7.5566, -12.2828,  -4.8271,  ..., -15.7370, -27.6530, -13.4782]]])","[None, '/m/02lkt', None, None, None]","[None, 'Electronic music', None, None, None]"
"tensor([[[  9.6215,  -5.6079, -10.8722,  ..., -39.4753, -37.0530, -23.2319],
         [  2.7284,  30.4143,  42.3557,  ...,  61.2996,  59.0791,  52.2493],
         [  1.7479,  -6.5664,  -6.8405,  ..., -29.9727, -35.7102, -26.7753],
         ...,
         [ -2.3787,   2.4183,   7.1822,  ...,  -7.7608,  -9.2377,  -2.6314],
         [ -6.6331,  -2.4898,  -2.1703,  ...,  -5.1690,  -7.4866,  -6.8312],
         [  2.4993,  -4.3692,  -6.5035,  ...,   0.9970,  -3.2587,  -4.5645]]])","[None, None, None, None, None]","[None, None, None, None, None]"
